Life_Expectancy,Mean_Years_Schooling,Expected_Years_Schooling,GNI_per_Capita,HDI_Score,HDI_Category
66.6,8.75,12.85,17640.96,0.7136,High
79.08,13.99,16.98,17630.11,0.8733,Very High
57.6,15.0,16.26,8702.28,0.7188,High
74.13,9.82,14.47,40414.13,0.8196,Very High
57.47,7.45,11.33,6099.01,0.5863,Medium
61.76,9.6,14.6,25726.3,0.7312,High
85.0,10.66,13.6,9521.02,0.7961,High
66.09,7.04,13.48,5386.49,0.6383,Medium
70.17,13.39,15.63,17899.54,0.8105,Very High
76.7,8.69,16.11,14907.74,0.7863,High
72.96,9.49,10.0,14142.97,0.7128,High
69.5,10.0,14.87,10735.15,0.7377,High
71.65,9.26,14.22,9529.11,0.7274,High
85.0,10.52,12.93,90000.0,0.8919,Very High
67.42,6.15,11.0,32346.36,0.6876,Medium
70.01,6.33,12.88,20390.55,0.7057,High
78.51,4.7,4.27,11067.84,0.5605,Medium
79.06,9.32,14.32,27096.43,0.8167,Very High
79.87,10.34,9.35,16613.9,0.7547,High
74.39,9.37,11.44,10159.91,0.7167,High
56.57,13.02,20.0,7305.89,0.712,High
84.33,7.98,10.82,9127.82,0.7258,High
56.54,10.01,11.66,500.0,0.4479,Low
71.03,4.72,8.33,12217.21,0.6051,Medium
60.46,6.84,14.97,6072.49,0.6288,Medium
67.36,10.09,10.42,48662.79,0.7525,High
71.29,10.55,12.44,10090.44,0.7265,High
71.21,7.12,14.11,3014.04,0.6342,Medium
72.22,7.79,15.5,9415.57,0.7247,High
84.14,3.45,7.24,3476.84,0.5508,Medium
72.54,6.93,8.45,15889.4,0.6605,Medium
65.56,10.67,18.86,13239.33,0.7692,High
77.64,9.73,16.91,25792.52,0.839,Very High
79.89,9.5,14.86,4487.8,0.7283,High
55.72,8.15,10.52,10239.5,0.6007,Medium
73.97,8.02,11.92,2527.48,0.6236,Medium
75.01,6.02,9.7,19960.18,0.6827,Medium
65.02,10.1,14.76,16628.46,0.7365,High
81.76,9.26,16.16,16249.3,0.8211,Very High
66.5,9.48,15.23,9913.17,0.716,High
69.26,6.42,8.27,14984.52,0.6337,Medium
66.27,1.54,8.29,49233.97,0.5726,Medium
68.16,11.29,15.92,7442.08,0.7336,High
57.04,6.56,11.94,11368.99,0.6075,Medium
53.6,5.41,12.34,3340.49,0.5234,Low
83.95,10.08,11.86,4153.63,0.7169,High
59.53,6.82,10.75,10914.13,0.6099,Medium
58.09,11.18,14.12,29849.8,0.728,High
46.47,9.85,10.72,7659.63,0.5507,Medium
61.61,10.05,14.74,7817.21,0.6796,Medium
54.77,3.9,12.93,6588.72,0.549,Low
84.42,11.64,11.96,5797.86,0.7592,High
78.1,8.78,12.72,13292.72,0.7528,High
61.12,6.89,12.17,2214.41,0.5519,Medium
85.0,8.43,12.68,35629.87,0.8252,Very High
77.82,2.67,6.45,5087.68,0.5211,Low
64.75,9.23,10.63,20371.73,0.6933,Medium
43.01,4.91,9.38,2779.43,0.4225,Low
85.0,3.94,6.43,19318.92,0.627,Medium
54.1,3.43,3.05,19378.99,0.4365,Low
51.55,11.34,17.73,14533.36,0.6823,Medium
78.23,6.11,12.03,3661.29,0.6399,Medium
85.0,12.6,16.7,12702.42,0.8649,Very High
81.84,6.39,10.85,3031.9,0.6319,Medium
73.64,2.88,9.03,7686.62,0.5725,Medium
73.95,4.65,9.1,27706.24,0.66,Medium
76.53,11.71,17.52,21953.94,0.8532,Very High
75.59,7.53,10.94,10048.54,0.6914,Medium
70.81,6.36,12.98,3733.84,0.6254,Medium
69.04,8.48,13.12,18874.89,0.7284,High
67.37,9.51,13.89,10090.82,0.7094,High
60.46,11.35,12.81,972.32,0.5395,Low
65.19,12.35,16.92,21647.17,0.7926,High
51.07,6.92,9.26,9660.18,0.544,Low
67.02,4.02,6.75,32940.27,0.5883,Medium
58.11,6.76,9.13,3310.09,0.5295,Low
56.96,8.78,10.65,500.0,0.4333,Low
69.8,5.11,13.36,13083.19,0.6734,Medium
81.92,5.13,11.79,13247.49,0.7051,High
77.18,9.03,16.87,1824.99,0.6672,Medium
52.29,7.85,9.41,3720.08,0.5217,Low
58.1,8.1,12.24,90000.0,0.7098,High
77.41,5.72,7.14,7290.95,0.6061,Medium
58.18,7.31,9.92,20557.04,0.626,Medium
65.75,5.23,7.39,5163.35,0.5419,Low
73.5,10.67,17.15,1223.78,0.6375,Medium
58.32,11.11,14.31,8347.7,0.6713,Medium
69.05,2.46,8.6,7588.55,0.541,Low
54.66,5.21,10.42,6635.05,0.5389,Low
61.99,3.51,12.12,8825.13,0.5831,Medium
71.2,6.05,7.09,12890.79,0.6131,Medium
52.07,7.75,14.27,8517.54,0.6008,Medium
72.4,3.65,9.94,2796.14,0.5445,Low
67.8,5.23,7.29,16093.73,0.597,Medium
73.52,4.99,11.0,1408.99,0.5375,Low
70.24,8.62,13.29,1273.65,0.58,Medium
81.64,8.21,11.75,20726.75,0.7711,High
